host,PMPI_Init,PMPI_Scatter,PMPI_Allgather,PMPI_Barrier,PMPI_Finalize
rank-9, 0.000000, 0.000200, 0.000605, 0.001005, 0.001005
rank-8, 0.000000, 0.000200, 0.000605, 0.001005, 0.001005
rank-7, 0.000000, 0.000100, 0.000605, 0.000905, 0.001005
rank-6, 0.000000, 0.000200, 0.000605, 0.001005, 0.001005
rank-5, 0.000000, 0.000200, 0.000605, 0.001005, 0.001005
rank-4, 0.000000, 0.000100, 0.000605, 0.000905, 0.001005
rank-3, 0.000000, 0.000100, 0.000605, 0.000905, 0.001005
rank-2, 0.000000, 0.000100, 0.000605, 0.000905, 0.001005
rank-1, 0.000000, 0.000000, 0.000605, 0.000805, 0.001005
