host,PMPI_Init,PMPI_Scatter,PMPI_Allgather,PMPI_Barrier,PMPI_Finalize
rank-8, 0.000000, 0.000300, 0.000905, 0.001505, 0.001505
rank-7, 0.000000, 0.000200, 0.000805, 0.001405, 0.001505
rank-6, 0.000000, 0.000200, 0.000805, 0.001405, 0.001505
rank-5, 0.000000, 0.000100, 0.000805, 0.001305, 0.001505
rank-4, 0.000000, 0.000200, 0.000805, 0.001405, 0.001505
rank-3, 0.000000, 0.000100, 0.000805, 0.001305, 0.001505
rank-2, 0.000000, 0.000100, 0.000805, 0.001305, 0.001505
rank-1, 0.000000, 0.000000, 0.000905, 0.001205, 0.001505
