host,PMPI_Init,PMPI_Scatter,PMPI_Allgather,PMPI_Barrier,PMPI_Finalize
rank-9, 0.000000, 0.000800, 0.002412, 0.004012, 0.004012
rank-8, 0.000000, 0.000700, 0.002111, 0.003912, 0.004012
rank-7, 0.000000, 0.000600, 0.001809, 0.003812, 0.004012
rank-6, 0.000000, 0.000500, 0.001508, 0.003712, 0.004012
rank-5, 0.000000, 0.000400, 0.001606, 0.003612, 0.004012
rank-4, 0.000000, 0.000300, 0.001808, 0.003512, 0.004012
rank-3, 0.000000, 0.000200, 0.002009, 0.003412, 0.004012
rank-2, 0.000000, 0.000100, 0.002211, 0.003312, 0.004012
rank-1, 0.000000, 0.000000, 0.002412, 0.003212, 0.004012
