host,PMPI_Init,PMPI_Scatter,PMPI_Allgather,PMPI_Barrier,PMPI_Finalize
rank-9, 0.000000, 0.000300, 0.001309, 0.001909, 0.001909
rank-8, 0.000000, 0.000300, 0.001309, 0.001909, 0.001909
rank-7, 0.000000, 0.000200, 0.001309, 0.001809, 0.001909
rank-6, 0.000000, 0.000200, 0.001309, 0.001809, 0.001909
rank-5, 0.000000, 0.000200, 0.001007, 0.001809, 0.001909
rank-4, 0.000000, 0.000200, 0.001007, 0.001809, 0.001909
rank-3, 0.000000, 0.000100, 0.001106, 0.001709, 0.001909
rank-2, 0.000000, 0.000100, 0.000805, 0.001709, 0.001909
rank-1, 0.000000, 0.000000, 0.000905, 0.001609, 0.001909
