host,PMPI_Init,PMPI_Scatter,PMPI_Allgather,PMPI_Barrier,PMPI_Finalize
rank-9, 0.000000, 0.000100, 0.000304, 0.000504, 0.000504
rank-8, 0.000000, 0.000100, 0.000304, 0.000504, 0.000504
rank-7, 0.000000, 0.000100, 0.000304, 0.000504, 0.000504
rank-6, 0.000000, 0.000100, 0.000304, 0.000504, 0.000504
rank-5, 0.000000, 0.000100, 0.000304, 0.000504, 0.000504
rank-4, 0.000000, 0.000100, 0.000304, 0.000504, 0.000504
rank-3, 0.000000, 0.000100, 0.000304, 0.000504, 0.000504
rank-2, 0.000000, 0.000100, 0.000304, 0.000504, 0.000504
rank-1, 0.000000, 0.000000, 0.000304, 0.000404, 0.000504
